property_id,master_project,master_area,master_developer,mollak_project,mollak_area,mollak_management_company,similarity_score,normalized_master,normalized_mollak,rate_aed_sqft,service_charge_year,area_match,developer_match,token_overlap,phase_match,classification,verification_basis,review_status
7608,Vera Residences,Business Bay,Damac,REVA RESIDENCES,Business Bay,LUXURY OWNER ASSOCIATION MANAGEMENT SERVICES CO. L.L.C,0.8667,vera residences,reva residences,27.28,2026,True,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=True, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
601,Aura Residences,Jumeirah village circle,Grovy Developers,Ahad Residences,Business Bay,BETTER COMMUNITIES OWNER ASSOCIATION MANAGEMENT,0.8667,aura residences,ahad residences,20.26,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
7464,Plaza Residences 1,Jumeirah village circle,Sky Overseas Real Estate Development LLC,TOPAZ RESIDENCES 1,Nadd Hessa,PRIME OWNERS ASSOCIATION MANAGEMENT SERVICES L.L.C,0.8889,plaza residences 1,topaz residences 1,16.63,2026,False,False,{'1'},False,AMBIGUOUS,"similarity=0.8889, area_match=False, dev_match=False, phase_match=False, token_overlap={'1'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
8369,Aura Residences,Jumeirah village circle,Grovy Developers,Ahad Residences,Business Bay,BETTER COMMUNITIES OWNER ASSOCIATION MANAGEMENT,0.8667,aura residences,ahad residences,20.26,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5497,Aura Residences,Jumeirah village circle,Grovy Developers,Ahad Residences,Business Bay,BETTER COMMUNITIES OWNER ASSOCIATION MANAGEMENT,0.8667,aura residences,ahad residences,20.26,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8667, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
6530,Empire Residences,Jumeirah village circle,Peace Homes Development,DEZIRE RESIDENCES,Al Barsha South Fourth,ADVENTUS OWNERS ASSOCIATION MANAGEMENT L.L.C,0.8824,empire residences,dezire residences,15.39,2026,False,False,set(),False,AMBIGUOUS,"similarity=0.8824, area_match=False, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
884,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Canal Residence West 2,Al Hebiah Fourth,SPORTS CITY OWNER ASSOCIATION MANAGEMENTSERVICES L.L.C,0.9524,canal residence west,canal residence west 2,16.08,2026,False,False,"{'west', 'canal'}",False,AMBIGUOUS,"similarity=0.9524, area_match=False, dev_match=False, phase_match=False, token_overlap={'west', 'canal'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
5402,The Pad by Omniyat,Business Bay,Omniyat,THE OPUS BY OMNIYAT,Business Bay,CLARITY OWNERS ASSOCIATION MANAGEMENT L.L.C,0.8649,the pad by omniyat,the opus by omniyat,38.85,2025,True,False,set(),False,AMBIGUOUS,"similarity=0.8649, area_match=True, dev_match=False, phase_match=False, token_overlap=set() — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
4702,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Canal Residence West 2,Al Hebiah Fourth,SPORTS CITY OWNER ASSOCIATION MANAGEMENTSERVICES L.L.C,0.9524,canal residence west,canal residence west 2,16.08,2026,False,False,"{'west', 'canal'}",False,AMBIGUOUS,"similarity=0.9524, area_match=False, dev_match=False, phase_match=False, token_overlap={'west', 'canal'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
4750,Canal Residence West,Dubai Sports City,Dubai Sports City LLC,Canal Residence West 2,Al Hebiah Fourth,SPORTS CITY OWNER ASSOCIATION MANAGEMENTSERVICES L.L.C,0.9524,canal residence west,canal residence west 2,16.08,2026,False,False,"{'west', 'canal'}",False,AMBIGUOUS,"similarity=0.9524, area_match=False, dev_match=False, phase_match=False, token_overlap={'west', 'canal'} — insufficient cross-field support or no meaningful token overlap",AMBIGUOUS
