property_id,master_project,master_area,master_developer,resolved_property_type,project_match_status,service_charge_status,mollak_project,mollak_community,mollak_year,mollak_usage,rate_aed_sqft,gf_rate,rf_rate,gt_rate,component_match,budget_start,budget_end,location_parity,developer_support,qdrant_support,phase_support,name_similarity,token_overlap,area_basis_verified,production_eligible,failure_reason,match_method,review_confidence,review_classification
844,Concept 7 Residences,Jumeirah village circle,Condor Developers,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
7881,Dubai Creek Residence Tower 2 North,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,THE DUBAI CREEK RESIDENCES,Dubai Creek Harbour,,,,,,,,,,True,True,True,True,0.689,2,False,False,PHASE_FAMILY: MASTER has phase {'2'} not in Mollak; cannot assume shared budget,FUZZY_COMMUNITY,7,HIGH_CONFIDENCE_REVIEW
2578,La Residenza,Jumeirah village circle,Dalands Holding,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.72,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
1467,Marriott Residences,Business Bay,Fortune 5,Apartment,AMBIGUOUS,NOT_MATCHED,Ahad Residences,Business Bay,,,,,,,,,,True,False,True,False,0.706,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
6632,Oakley Square Residences,Jumeirah village circle,Ellington,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.683,0,False,False,AMBIGUOUS: 2 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
7608,Vera Residences,Business Bay,Damac,Apartment,AMBIGUOUS,NOT_MATCHED,REVA RESIDENCES,Business Bay,,,,,,,,,,True,False,True,False,0.867,0,False,False,AMBIGUOUS: 2 candidates,,4,MEDIUM_CONFIDENCE_REVIEW
6209,Concept 7 Residences,Jumeirah village circle,Condor Developers,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.649,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
6540,The Autograph Residences,Jumeirah village circle,Green Group,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.634,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
6835,LIV Residence,Dubai Marina,Liv,Apartment,AMBIGUOUS,NOT_MATCHED,BAYSIDE RESIDENCE,Dubai Marina,,,,,,,,,,True,False,True,False,0.733,0,False,False,,FUZZY_COMMUNITY,3,MEDIUM_CONFIDENCE_REVIEW
8201,Marquise Square,Business Bay,Seven Tides,Apartment,AMBIGUOUS,NOT_MATCHED,MARQUISE SQUARE TOWER,Business Bay,,,,,,,,,,True,False,True,False,0.833,2,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
1913,Creek Beach Orchid,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEK HORIZON,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.645,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
601,Aura Residences,Jumeirah village circle,Grovy Developers,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.786,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
6594,Creek Beach Orchid,Dubai Creek Harbour,Emaar,Apartment,AMBIGUOUS,NOT_MATCHED,CREEK HORIZON,Dubai Creek Harbour,,,,,,,,,,True,True,True,False,0.645,1,False,False,,FUZZY_COMMUNITY,6,HIGH_CONFIDENCE_REVIEW
7464,Plaza Residences 1,Jumeirah village circle,Sky Overseas Real Estate Development LLC,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.71,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
4547,Gardenia Residency,Jumeirah village circle,Shaikhani Group,Apartment,AMBIGUOUS,NOT_MATCHED,DEZIRE RESIDENCES,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.686,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
365,Beverly Residence 2,Jumeirah village circle,HMB Homes Real Estate Development,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.688,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
8369,Aura Residences,Jumeirah village circle,Grovy Developers,Apartment,AMBIGUOUS,NOT_MATCHED,MAY RESIDENCE,Jumeirah Village Circle,,,,,,,,,,True,False,True,False,0.786,0,False,False,AMBIGUOUS: 3 candidates,,3,MEDIUM_CONFIDENCE_REVIEW
