property_id,property_name,area,project,bedrooms,size_sqft,current_price_aed,dld_rental_area,unit_status,calc_version_rent,calc_version_yield,selected_rental_tier,comparable_count,projects_in_pool,annual_rent_estimate_aed,annual_rent_p25_aed,annual_rent_p75_aed,evidence_quality,investor_label,warnings,gross_rental_yield_pct,gross_yield_p25_pct,gross_yield_p75_pct
2161,Hotel Edge by Rotana,Damac Hills 2,Hotel Edge by Rotana,1,481.0,663600.0,Dubai Investment Park First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,485,0,36288.0,32640.0,41251.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.47,4.92,6.22
6982,Binghatti Rose,Jumeirah village circle,Binghatti Rose,1,659.0,840000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,27,1,63360.0,59520.0,67200.0,STRONGER,Estimated Project Rent,,7.54,7.09,8.0
3201,Binghatti Nova,Jumeirah village circle,Binghatti Nova,2,989.0,1380000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,13,1,72000.0,67200.0,76800.0,STRONGER,Estimated Project Rent,,5.22,4.87,5.57
6250,Binghatti Luna,Jumeirah village circle,Binghatti Luna,2,1178.0,1300000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,18,1,86400.0,81600.0,94080.0,STRONGER,Estimated Project Rent,,6.65,6.28,7.24
2666,Binghatti Lavender,Jumeirah village circle,Binghatti Lavender,2,1020.0,1470000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,25,1,96000.0,82560.0,105600.0,STRONGER,Estimated Project Rent,,6.53,5.62,7.18
1181,Laya Mansion,Jumeirah village circle,Laya Mansion,2,1413.0,1600000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1603,180,88320.0,75569.0,110400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.52,4.72,6.9
1829,Vita Grande,Jumeirah village circle,Vita Grande,2,774.0,912000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4988,212,63360.0,56640.0,72000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.95,6.21,7.89
5128,Marina Star,Dubai Marina,Marina Star,2,1111.0,2800000.0,Marsa Dubai,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,9,1,105600.0,105600.0,124062.0,STRONGER,Estimated Project Rent,,3.77,3.77,4.43
844,Concept 7 Residences,Jumeirah village circle,Concept 7 Residences,2,1016.0,1100000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,6,1,81600.0,72000.0,124800.0,STRONGER,Estimated Project Rent,,7.42,6.55,11.35
4699,creek edge,Dubai Creek Harbour,creek edge,2,1044.0,1500000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,77,1,139200.0,129600.0,148800.0,STRONGER,Estimated Project Rent,,9.28,8.64,9.92
7112,Q Gardens Loft,Jumeirah village circle,Q Gardens Loft,1,848.0,503000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,5099,211,65280.0,57600.0,72000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,12.98,11.45,14.31
4914,Franck Muller Yachting,Dubai Maritime City,Franck Muller Yachting,2,792.0,1710888.0,Al Jaddaf,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,NONE,0,0,,,,NONE,,Insufficient comparable rental data,,,
2046,Franck Muller Yachting,Dubai Maritime City,Franck Muller Yachting,1,409.0,1120888.0,Al Jaddaf,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,NONE,0,0,,,,NONE,,Insufficient comparable rental data,,,
3765,Q Gardens Loft,Jumeirah village circle,Q Gardens Loft,2,1304.0,1900000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1930,193,84480.0,70579.0,103680.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.45,3.71,5.46
7881,Dubai Creek Residence Tower 2 North,Dubai Creek Harbour,Dubai Creek Residence Tower 2 North,1,1020.0,1399990.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4115,31,120000.0,110163.0,134400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,8.57,7.87,9.6
409,Harbour Views 1,Dubai Creek Harbour,Harbour Views 1,3,1526.0,2700000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2468,31,163200.0,144000.0,182400.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.04,5.33,6.76
1330,Oxford Gardens,Arjan,Oxford Gardens,0,413.0,560000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,71,1,57600.0,52658.0,62400.0,STRONGER,Estimated Project Rent,,10.29,9.4,11.14
2899,Q Gardens Loft,Jumeirah village circle,Q Gardens Loft,2,1827.0,2068970.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,619,115,105600.0,86400.0,120000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.1,4.18,5.8
5356,Terraces Marasi Drive,Business Bay,Terraces Marasi Drive,2,,3600000.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,NONE,0,0,,,,NONE,,No DLD rental area or size,,,
2155,Divine Living,Arjan,Divine Living,2,1236.0,1200000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,24,1,105600.0,96000.0,115200.0,STRONGER,Estimated Project Rent,,8.8,8.0,9.6
6836,Serenity Lakes 5,Jumeirah village circle,Serenity Lakes 5,1,692.0,910000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4261,205,62400.0,53760.0,70080.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.86,5.91,7.7
4753,Mayas Geneva,Jumeirah village circle,Mayas Geneva,1,1055.0,961000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,10,1,78720.0,76800.0,81600.0,STRONGER,Estimated Project Rent,,8.19,7.99,8.49
2459,UPSIDE Living,Business Bay,UPSIDE Living,0,399.0,1288890.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,83,1,86400.0,69120.0,96000.0,STRONGER,Estimated Project Rent,,6.7,5.36,7.45
2578,La Residenza,Jumeirah village circle,La Residenza,1,642.0,900000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,3512,194,57600.0,50400.0,67200.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.4,5.6,7.47
1467,Marriott Residences,Business Bay,Marriott Residences,2,1167.0,3016780.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,3107,84,105600.0,86400.0,126720.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.5,2.86,4.2
6720,Beverly Boulevard,Arjan,Beverly Boulevard,0,403.0,537000.0,Al Barshaa South Third,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,52,1,48000.0,45120.0,52800.0,STRONGER,Estimated Project Rent,,8.94,8.4,9.83
2473,MBL Royal,Jumeirah Lake Towers,MBL Royal,1,848.0,1500000.0,Al Thanyah Fifth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,78,1,113280.0,101760.0,120000.0,STRONGER,Estimated Project Rent,,7.55,6.78,8.0
8393,Canal Front Residences,Dubai Water Canal,Canal Front Residences,2,1326.0,3900000.0,Burj Khalifa,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,4572,45,172800.0,147859.0,216000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.43,3.79,5.54
6298,Binghatti Emerald,Jumeirah village circle,Binghatti Emerald,1,623.0,749000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,59,1,65280.0,62400.0,72000.0,STRONGER,Estimated Project Rent,,8.72,8.33,9.61
2766,Binghatti Emerald,Jumeirah village circle,Binghatti Emerald,2,1024.0,1100000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,13,1,100800.0,90720.0,105600.0,STRONGER,Estimated Project Rent,,9.16,8.25,9.6
6632,Oakley Square Residences,Jumeirah village circle,Oakley Square Residences,2,1189.0,1850000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,15,1,138240.0,100800.0,148800.0,STRONGER,Estimated Project Rent,,7.47,5.45,8.04
507,The Paragon by IGO,Business Bay,The Paragon by IGO,1,596.0,1200000.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,33,1,86400.0,74679.0,100800.0,STRONGER,Estimated Project Rent,,7.2,6.22,8.4
673,The Community Motor City,Dubai Motor City,The Community Motor City,0,441.0,529000.0,Al Hebiah Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R3,32,14,40320.0,36288.0,43200.0,STRONG,Estimated Area Rent (Bedroom Match),,7.62,6.86,8.17
1597,The Community Motor City,Dubai Motor City,The Community Motor City,1,673.0,797000.0,Al Hebiah Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,1640,49,49920.0,45360.0,55680.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,6.26,5.69,6.99
6649,Park Lane by Heilbronn,Jumeirah village circle,Park Lane by Heilbronn,1,947.0,1288890.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R2,16,1,91200.0,76800.0,110400.0,STRONGER,Estimated Project Rent,,7.08,5.96,8.57
4694,Creek Gate Tower 2,Dubai Creek Harbour,Creek Gate Tower 2,2,1114.0,2550000.0,Al Khairan First,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,3928,31,124800.0,110400.0,142137.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,4.89,4.33,5.57
8320,Eleganz,Jumeirah village circle,Eleganz,2,1274.0,2200000.0,Al Barsha South Fourth,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2066,193,81600.0,69120.0,100800.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,3.71,3.14,4.58
5092,4Direction Residence 1,Dubai Land Residence Complex,4Direction Residence 1,0,517.0,613773.0,Wadi Al Safa 5,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R3,16,5,34560.0,30240.0,40320.0,STRONG,Estimated Area Rent (Bedroom Match),,5.63,4.93,6.57
7608,Vera Residences,Business Bay,Vera Residences,1,474.0,1070000.0,Business Bay,Ready,RENTAL_MARKET_RENT_V1_CANDIDATE,GROSS_RENTAL_YIELD_V1_CANDIDATE,R4,2639,67,62400.0,52800.0,72000.0,BROADER,Estimated Area Rent,Based on broader area rental comparables. Individual building rents may differ materially.,5.83,4.93,6.73
