property_id,master_project,mollak_project,budget_scope,tower_scope,grand_total_rate,rate_scope_verified,mollak_group_count,evidence,official_source,dubai_creek_6_tower_shared_rate_confirmed
409,Harbour Views 1,Harbour Views,Single Mollak property group covers both Harbour Views 1 and 2 (twin towers),Harbour Views = twin towers (HV1 + HV2) on shared podium; single OA budget,16.82,YES,1,Mollak API: 1 group 'Harbour Views' (id=310544607). Emaar official: 'tallest twin towers on Creek Island'. Bayut: 'two 51-storey towers'. Single jointly owned property.,"Emaar Properties, ECM, Bayut, Mollak API",
8201,Marquise Square,MARQUISE SQUARE TOWER,"Single residential Mollak property group (other 2 groups are Developer Extra Parking, not residential)","Marquise Square = single 29-storey tower, 384 units",16.85,YES,1,"Mollak API: 1 residential group 'Marquise Square Tower' (id=5963582). JRE: 'single tower, 29 storeys'. Bayut: '29-storey residential building'. FazWaz: '384 units across 29 floors'.","JRE Dubai (RERA escrow #1011221899533019), Bayut, FazWaz, Mollak API",
1208,Marquise Square,MARQUISE SQUARE TOWER,Single residential Mollak property group,"Marquise Square = single 29-storey tower, 384 units",16.85,YES,1,"Same as 8201 — single tower, single Mollak residential budget","JRE Dubai, Bayut, FazWaz, Mollak API",
5582,Marquise Square,MARQUISE SQUARE TOWER,Single residential Mollak property group,"Marquise Square = single 29-storey tower, 384 units",16.85,YES,1,"Same as 8201 — single tower, single Mollak residential budget","JRE Dubai, Bayut, FazWaz, Mollak API",
3160,Marquise Square,MARQUISE SQUARE TOWER,Single residential Mollak property group,"Marquise Square = single 29-storey tower, 384 units",16.85,YES,1,"Same as 8201 — single tower, single Mollak residential budget","JRE Dubai, Bayut, FazWaz, Mollak API",
7881,Dubai Creek Residence Tower 2 North,THE DUBAI CREEK RESIDENCES,Single Mollak property group covers all 6 towers of Dubai Creek Residences,"Dubai Creek Residences = 6 waterfront towers (Tower 1-6 North/South), single OA budget",16.5,YES,1,Mollak API: 1 group 'The Dubai Creek Residences' (id=106778868). ECM official: 'comprises six waterfront towers'. Dubai Holding: 'six-tower residential development'. Christie's: 'collection of six residential towers'.,"ECM (Emaar Community Management), Dubai Holding, Christie's, Mollak API",YES
884,Canal Residence West,CANAL RESIDENCE WEST (PHASE 1),3 separate residential Mollak property groups with different rates,"Canal Residence West Phase 1 = 3 towers (European, Venetian, Mediterranean) with separate OA budgets",UNRESOLVED,NO,3,"Mollak API: 3 residential groups (European GT=13.92, Venetian GT=13.91, Mediterranean GT=13.94). MASTER: no tower identification. Qdrant: building_name='Canal Residence West' (generic). No unit number, floor, or tower reference in any metadata field.","Mollak API, Bayut, Diar Consult, dxboffplan",
4702,Canal Residence West,CANAL RESIDENCE WEST (PHASE 1),3 separate residential Mollak property groups with different rates,"Canal Residence West Phase 1 = 3 towers (European, Venetian, Mediterranean) with separate OA budgets",UNRESOLVED,NO,3,Same as 884 — no tower identification in MASTER or Qdrant data,"Mollak API, Bayut, Diar Consult, dxboffplan",
4750,Canal Residence West,CANAL RESIDENCE WEST (PHASE 1),3 separate residential Mollak property groups with different rates,"Canal Residence West Phase 1 = 3 towers (European, Venetian, Mediterranean) with separate OA budgets",UNRESOLVED,NO,3,Same as 884 — no tower identification in MASTER or Qdrant data,"Mollak API, Bayut, Diar Consult, dxboffplan",
5513,Canal Residence West,CANAL RESIDENCE WEST (PHASE 1),3 separate residential Mollak property groups with different rates,"Canal Residence West Phase 1 = 3 towers (European, Venetian, Mediterranean) with separate OA budgets",UNRESOLVED,NO,3,Same as 884 — no tower identification in MASTER or Qdrant data,"Mollak API, Bayut, Diar Consult, dxboffplan",
