property_id,unit_status,area,project,bedrooms,size_sqft,price_aed,dld_rental_area,R1_comparables,R1_estimate,R1_method,R2_comparables,R2_estimate,R2_method,R3_comparables,R3_estimate,R3_method,R4_comparables,R4_estimate,R4_method,selected_tier,annual_market_rent_estimate,comparable_count,estimation_method,evidence_level,gross_rental_yield,warnings
2161,ready,Damac Hills 2,hotel edge by rotana,1,481.0,663600.0,Dubai Investment Park First,0.0,,,0,,,0.0,,,485,36288.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,36288.0,485,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.47,
6982,ready,Jumeirah village circle,binghatti rose,1,659.0,840000.0,Al Barsha South Fourth,0.0,,,27,63360.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3733,59520.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,63360.0,27,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,7.54,
3201,ready,Jumeirah village circle,binghatti nova,2,989.0,1380000.0,Al Barsha South Fourth,0.0,,,13,72000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4378,69120.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,72000.0,13,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,5.22,
6250,ready,Jumeirah village circle,binghatti luna,2,1178.0,1300000.0,Al Barsha South Fourth,0.0,,,18,86400.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,2558,76800.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,86400.0,18,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,MODERATE,6.65,
2666,ready,Jumeirah village circle,binghatti lavender,2,1020.0,1470000.0,Al Barsha South Fourth,0.0,,,25,96000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4181,70080.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,96000.0,25,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.53,
1181,ready,Jumeirah village circle,laya mansion,2,1413.0,1600000.0,Al Barsha South Fourth,0.0,,,2,,,0.0,,,1603,88320.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,88320.0,1603,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,5.52,
1829,ready,Jumeirah village circle,vita grande,2,774.0,912000.0,Al Barsha South Fourth,0.0,,,0,,,0.0,,,4988,63360.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R4,63360.0,4988,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,6.95,
5128,ready,Dubai Marina,marina star,2,1111.0,2800000.0,Marsa Dubai,0.0,,,9,105600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,3933,106368.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,105600.0,9,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,3.77,
844,ready,Jumeirah village circle,concept 7 residences,2,1016.0,1100000.0,Al Barsha South Fourth,0.0,,,6,81600.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4194,70080.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,81600.0,6,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,WEAK,7.42,
4699,ready,Dubai Creek Harbour,creek edge,2,1044.0,1500000.0,Al Khairan First,0.0,,,77,139200.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,0.0,,,4080,120000.0,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,R2,139200.0,77,RECENCY_WEIGHTED_MEDIAN_IQR1.5_CAL0.96,STRONG,9.28,
